,Business Objective,Campaign Objective,Measurement Method,Category,Description,"Implementation Cost (1=Low, 5=High)","Impact Duration (1=Short, 5=Long)",Business/Campaign Objective
0,Brand Awareness,Increase Brand Recall,Brand Awareness / Recall,Brand & Customer Insights,Measures how many people recognize or recall the brand.,2,3,Brand Awareness
1,Brand Awareness,Increase Brand Recall,Brand Health Study,Brand & Customer Insights,"Surveys that track brand awareness, perception, and loyalty over time.",3,5,Brand Awareness
2,Brand Awareness,Increase Brand Recall,Brand Lift Studies,Marketing & Media Measurement,Evaluates how advertising improves brand perception or awareness.,2,3,Brand Awareness
3,Brand Awareness,Improve Brand Perception,Brand Awareness / Recall,Brand & Customer Insights,Measures how many people recognize or recall the brand.,2,3,Brand Awareness
4,Brand Awareness,Improve Brand Perception,Brand Health Study,Brand & Customer Insights,"Surveys that track brand awareness, perception, and loyalty over time.",3,5,Brand Awareness
5,Brand Awareness,Improve Brand Perception,Brand Lift Studies,Marketing & Media Measurement,Evaluates how advertising improves brand perception or awareness.,2,3,Brand Awareness
6,Brand Awareness,Expand Reach,Brand Awareness / Recall,Brand & Customer Insights,Measures how many people recognize or recall the brand.,2,3,Brand Awareness
7,Brand Awareness,Expand Reach,Brand Health Study,Brand & Customer Insights,"Surveys that track brand awareness, perception, and loyalty over time.",3,5,Brand Awareness
8,Brand Awareness,Expand Reach,Brand Lift Studies,Marketing & Media Measurement,Evaluates how advertising improves brand perception or awareness.,2,3,Brand Awareness
9,Customer Engagement,Improve Stickiness,DAU / MAU (Stickiness),Product Metrics & User Behavior,Measures how often users return by comparing daily and monthly users.,1,2,Customer Engagement
10,Customer Engagement,Improve Stickiness,Engagement Rate,Product Metrics & User Behavior,Measures frequency and intensity of user interaction.,1,2,Customer Engagement
11,Customer Engagement,Improve Stickiness,Session Length,Product Metrics & User Behavior,Average time users spend in the product.,1,2,Customer Engagement
12,Customer Engagement,Improve Stickiness,WAU / MAU,Product Metrics & User Behavior,Weekly active users divided by monthly active users to assess engagement.,1,2,Customer Engagement
13,Customer Engagement,Boost Content Interaction,DAU / MAU (Stickiness),Product Metrics & User Behavior,Measures how often users return by comparing daily and monthly users.,1,2,Customer Engagement
14,Customer Engagement,Boost Content Interaction,Engagement Rate,Product Metrics & User Behavior,Measures frequency and intensity of user interaction.,1,2,Customer Engagement
15,Customer Engagement,Boost Content Interaction,Session Length,Product Metrics & User Behavior,Average time users spend in the product.,1,2,Customer Engagement
